,date,brand,days_visible_7,days_measured_7,visibility_7,appearances_7,opportunities_7,share_7,avg_normalized_inverted_rank_7,score_7,score_30,url_id,category
419,2017-03-15 0:00:00,bai,7,7,1,65,700,0.092857143,0.978571429,2.048010204,2.038011834,2158,Soda Soft Drinks
420,2017-03-16 0:00:00,Barq's,7,7,1,7,700,0.01,0.664285714,1.335214286,1.237585714,2158,Soda Soft Drinks
421,2017-03-16 0:00:00,Barrs Originals Soft Drinks,1,7,0.142857143,1,100,0.01,0.03,0.034585714,0.04035,2158,Soda Soft Drinks
422,2017-03-16 0:00:00,Blue Sky,7,7,1,24,700,0.034285714,0.497142857,1.011330612,1.077630612,2158,Soda Soft Drinks
423,2017-03-16 0:00:00,Brex America,7,7,1,7,700,0.01,0.525714286,1.056685714,0.956185714,2158,Soda Soft Drinks
424,2017-03-16 0:00:00,Buffalo Rock Ginger Ale,1,7,0.142857143,1,100,0.01,0.04,0.046114286,0.043257143,2158,Soda Soft Drinks
425,2017-03-16 0:00:00,Canada Dry,,,,,,,,,0.129771429,2158,Soda Soft Drinks
426,2017-03-16 0:00:00,Coca-Cola,7,7,1,31,700,0.044285714,0.991428571,2.026763265,2.026718367,2158,Soda Soft Drinks
427,2017-03-16 0:00:00,Coca-Cola Life,7,7,1,7,700,0.01,0.752857143,1.513242857,1.536214286,2158,Soda Soft Drinks
428,2017-03-16 0:00:00,Coke Zero,7,7,1,29,700,0.041428571,0.971428571,1.983102041,1.985323469,2158,Soda Soft Drinks
429,2017-03-16 0:00:00,Diet Coke,7,7,1,35,700,0.05,0.998571429,2.047071429,2.044966837,2158,Soda Soft Drinks
430,2017-03-16 0:00:00,Diet Mountain Dew,6,7,0.857142857,9,600,0.015,0.825,1.544517857,1.662349704,2158,Soda Soft Drinks
431,2017-03-16 0:00:00,Fanta,7,7,1,7,700,0.01,0.698571429,1.404128571,1.418057143,2158,Soda Soft Drinks
432,2017-03-16 0:00:00,Fever-Tree,7,7,1,33,700,0.047142857,0.697142857,1.42715102,1.386709184,2158,Soda Soft Drinks
433,2017-03-16 0:00:00,Fresca,7,7,1,18,700,0.025714286,0.754285714,1.527967347,1.481020408,2158,Soda Soft Drinks
