,date,brand,days_visible_7,days_measured_7,visibility_7,appearances_7,opportunities_7,share_7,avg_normalized_inverted_rank_7,score_7,url_id,category
110,2017-03-08 0:00:00,Enfagrow,6,6,1,17,600,0.028333333,0.971666667,1.970863889,1973,Baby Foods
111,2017-03-08 0:00:00,Enfamil,6,6,1,75,600,0.125,0.938333333,1.993958333,1973,Baby Foods
112,2017-03-08 0:00:00,Gerber,2,6,0.333333333,2,200,0.01,0.055,0.073883333,1973,Baby Foods
113,2017-03-08 0:00:00,Gerber Good Start Infant Formula,6,6,1,24,600,0.04,0.56,1.1424,1973,Baby Foods
114,2017-03-08 0:00:00,Gerber Graduates,6,6,1,24,600,0.04,0.871666667,1.7782,1973,Baby Foods
115,2017-03-08 0:00:00,Gerber Purees,6,6,1,11,600,0.018333333,0.628333333,1.268186111,1973,Baby Foods
116,2017-03-08 0:00:00,HAPPY BABY,6,6,1,56,600,0.093333333,0.871666667,1.824688889,1973,Baby Foods
117,2017-03-08 0:00:00,Happy Baby,6,6,1,6,600,0.01,0.943333333,1.8961,1973,Baby Foods
118,2017-03-08 0:00:00,Happy Tot,4,6,0.666666667,4,400,0.01,0.1425,0.238925,1973,Baby Foods
119,2017-03-08 0:00:00,Hot Kid,1,6,0.166666667,1,100,0.01,0.1,0.117666667,1973,Baby Foods
120,2017-03-08 0:00:00,MommyYummy,1,6,0.166666667,1,100,0.01,0.34,0.400066667,1973,Baby Foods
121,2017-03-08 0:00:00,NO DATA,6,6,1,11,600,0.018333333,0.303333333,0.612227778,1973,Baby Foods
122,2017-03-08 0:00:00,Nido,6,6,1,6,600,0.01,0.385,0.77385,1973,Baby Foods
123,2017-03-08 0:00:00,Nuby,1,6,0.166666667,1,100,0.01,0.04,0.047066667,1973,Baby Foods
124,2017-03-08 0:00:00,Nutramigen,6,6,1,11,600,0.018333333,0.683333333,1.379194444,1973,Baby Foods
125,2017-03-08 0:00:00,Pedialyte,2,6,0.333333333,2,200,0.01,0.17,0.228366667,1973,Baby Foods
126,2017-03-08 0:00:00,Pediasure,6,6,1,12,600,0.02,0.593333333,1.198533333,1973,Baby Foods
127,2017-03-08 0:00:00,Peter Rabbit Organics,6,6,1,18,600,0.03,0.431666667,0.876283333,1973,Baby Foods
128,2017-03-08 0:00:00,Plum Organics,6,6,1,87,600,0.145,0.995,2.134275,1973,Baby Foods
129,2017-03-08 0:00:00,Pumpkin Tree,6,6,1,11,600,0.018333333,0.7,1.412833333,1973,Baby Foods
130,2017-03-08 0:00:00,Similac,6,6,1,94,600,0.156666667,0.928333333,2.002105556,1973,Baby Foods
131,2017-03-08 0:00:00,Sprout,5,6,0.833333333,8,500,0.016,0.168,0.310688,1973,Baby Foods
132,2017-03-09 0:00:00,Baby's Only,7,7,1,10,700,0.014285714,0.794285714,1.599918367,1973,Baby Foods
133,2017-03-09 0:00:00,Baby's Only Organic,2,7,0.285714286,2,200,0.01,0.95,1.230928571,1973,Baby Foods
134,2017-03-09 0:00:00,Earth's Best,7,7,1,126,700,0.18,0.991428571,2.161314286,1973,Baby Foods
135,2017-03-09 0:00:00,EleCare,3,7,0.428571429,3,300,0.01,0.25,0.359642857,1973,Baby Foods
136,2017-03-09 0:00:00,Enfagrow,7,7,1,20,700,0.028571429,0.964285714,1.956122449,1973,Baby Foods
137,2017-03-09 0:00:00,Enfamil,7,7,1,88,700,0.125714286,0.941428571,2.001208163,1973,Baby Foods
138,2017-03-09 0:00:00,Gerber,3,7,0.428571429,3,300,0.01,0.05,0.071928571,1973,Baby Foods
139,2017-03-09 0:00:00,Gerber Good Start Infant Formula,7,7,1,28,700,0.04,0.562857143,1.148228571,1973,Baby Foods
140,2017-03-09 0:00:00,Gerber Graduates,7,7,1,27,700,0.038571429,0.855714286,1.744434694,1973,Baby Foods
141,2017-03-09 0:00:00,Gerber Purees,7,7,1,12,700,0.017142857,0.614285714,1.239102041,1973,Baby Foods
142,2017-03-09 0:00:00,HAPPY BABY,7,7,1,67,700,0.095714286,0.871428571,1.826265306,1973,Baby Foods
143,2017-03-09 0:00:00,Happy Baby,7,7,1,7,700,0.01,0.941428571,1.892271429,1973,Baby Foods
144,2017-03-09 0:00:00,Happy Tot,5,7,0.714285714,5,500,0.01,0.124,0.213811429,1973,Baby Foods
145,2017-03-09 0:00:00,Hot Kid,1,7,0.142857143,1,100,0.01,0.1,0.115285714,1973,Baby Foods
146,2017-03-09 0:00:00,MommyYummy,1,7,0.142857143,1,100,0.01,0.34,0.391971429,1973,Baby Foods
147,2017-03-09 0:00:00,NO DATA,7,7,1,13,700,0.018571429,0.304285714,0.614222449,1973,Baby Foods
148,2017-03-09 0:00:00,Nido,7,7,1,7,700,0.01,0.377142857,0.758057143,1973,Baby Foods
