Influencer Handle Engagement Change,Brand Handle Engagement Change,Number of Influencers Mentioning Brand Handle,Brand
-0.218461173,-0.001471926,4,Sony
-0.029965701,0.170438961,4,Speedo
-0.143028614,0.006499014,9,Sperry Top-Sider
0.392148781,-0.250029118,2,Sprite
-0.119531873,-0.2660833,14,Stella Artois
0.124093645,0.089608427,439,Stella McCartney
0.697665314,-0.262209462,69,Steve Madden
-0.545221877,-0.393331341,12,Stila Cosmetics
0.224554446,0.27397989,212,Stuart Weitzman
-0.022139707,-0.401214775,2,Subaru
0.170132506,-0.15084884,193,Swarovski
-0.450591298,-0.444561167,15,Tag Heuer
0.118268958,0.081484544,1,Tampax
-0.265011211,0.295377027,67,Target
0.047561854,0.125679041,14,Tarte
-0.012612724,0.317116653,42,Ted Baker
-0.491326985,0.419194596,4,The Macallan
-0.163602076,0.358930264,45,The North Face
-0.089119905,0.073938599,2,theBalm
0.288563766,-0.211595514,271,Tiffany & Co.
0.343097985,-0.011424637,43,Timberland
0.213096583,0.261457685,186,Tod's
-0.00190949,0.331890346,314,Tommy Hilfiger
0.263865393,-0.195045709,22,Too Faced Cosmetics
0.30236151,-0.042738486,293,Topshop
0.112231532,-0.105732855,243,Tory Burch
-0.128411655,-0.43752895,4,Toyota
-0.309325194,-0.109929156,37,Tumi
-0.468276949,-0.111908375,23,Ulta
-0.037393879,0.004654722,45,Under Armour
-0.17968991,0.127627846,41,Uniqlo
0.14087709,-0.089547307,46,Urban Decay
-0.225547993,0.027608634,159,Urban Outfitters
0.714891348,-0.541649139,5,Vacheron Constantin
0.306273601,0.172566064,622,Valentino
0.048061715,-0.342088339,35,Van Cleef & Arpels
-0.283453334,-0.153644466,194,Vans
0.05031945,0.305065863,304,Versace
0.432763568,0.59764112,147,Victoria's Secret
-0.138139664,-0.226661175,4,Victorinox
0.115554057,0.030822672,9,Vineyard Vines
0.651261804,0.460302227,33,Vivienne Westwood
0.099920324,0.032043556,9,Volcom
-0.136336538,-0.176262867,2,Volkswagen
-0.836172011,-0.286724403,5,Walgreens
0.042861283,-0.181791172,34,West Elm
